Cd_historico	Descricao	Cd_tipo	Historico_conta	Cd_historico_li	Ativo	Sessao	Usuario_modific	Usuario_criacao	Dt_modificacao	Campo11	Campo12	Campo13	Campo14	campo15	campo16	campo17	campo18	campo19	campo20	campo21	campo22	campo23	campo24	campo25	campo26	campo27	campo28	campo29	campo30	campo31	campo32	campo33	campo34	campo35	campo36	campo37	campo38	usrhist1	usrhist2	usrhist3	usrhist4	usrhist5
S54	PGTO ADIANT - ANTECIPAÇÃO DE LUCROS     	S	      	   	1	49331	A00	A00	2014-02-25 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	V	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S55	PGTO ADIANT - FUNCIONARIOS              	S	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	V	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S56	PGTO ADIANT - DE VIAGENS                	S	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	V	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S57	PGTO ADIANT - FORNECEDORES              	S	      	   	1	36654	SUP	SUP	2009-02-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	V	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S61	PGTO APURACAO MES - IPI                 	S	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S62	PGTO APURACAO MES - PIS                 	S	      	   	1	39436	A00	A00	2011-11-16 00:00:00.000	NULL	NULL	NULL	NULL	      	2136  	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S63	PGTO APURACAO MES - COFINS              	S	      	   	1	39470	A00	A00	2011-11-16 00:00:00.000	NULL	NULL	NULL	NULL	      	2135  	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S70	PGTO FRETE REF - VENDA                  	S	270   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S71	PGTO FRETE REF - SERVICO                	S	271   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S72	PGTO FRETE REF - COMPRA                 	S	272   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S80	PGTO RETENCAO - PIS/COFINS/CSLL         	S	120   	   	1	34651	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S81	PGTO RETENCAO - IRRF COD 1708           	S	222   	   	1	33071	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S82	PGTO RETENCAO - IRRF COD 3280 COOP      	S	222   	   	1	33089	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S83	PGTO RETENCAO - IRRF COD 0588 - P. FISIC	S	222   	   	1	33110	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S84	PGTO RETENCAO - IRRF COD 3280 - ALUGUEL 	S	222   	   	1	33128	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S85	PGTO RETENCAO - IRRF COD 0561 - SALARIOS	S	222   	   	1	34052	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S86	PGTO RETENCAO - ISSQN                   	S	223   	   	1	34060	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S87	PGTO RETENCAO - INSS                    	S	      	   	1	34100	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S90	PGTO REF - DEVOLUCAO DE VENDAS          	S	201   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S91	PGTO REF - DEVOLUCAO COMISSAO           	S	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S92	PGTO REF - RENDIMENTO DE APLICACAO      	S	      	   	1	40798	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S95	PGTO REF - RESGATE                      	S	      	   	1	40683	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S96	PGTO REF - APLICACAO                    	S	      	   	1	40534	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S98	PGTO REF - UNIFICAÇÃO                   	S	298   	   	1	41269	A00	A00	2013-09-11 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	U	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
S99	PGTO REF - SALDO INICIAL                	S	299   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
T01	VLR REF - TRANSFERENCIA FINANCEIRA      	S	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	1	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
T20	VLR REF - TRANSP DE SALDO PORTADORES    	E	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
T50	VLR REF - SAQUE POR CAIXA               	S	      	   	1	35733	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
Z01	CONSUMO ESTOQUE                         	S	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	3	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
Z10	VLR REF - CUSTO MERCADORIAS VENDIDAS    	R	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
Z50	VALOR CUSTO COMPRA ESTOQUE              	R	999   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
